Region,Date,Confirmed,Recovered/Migrated,Deceased
Maharashtra,27032020,156.0,2.0,2.0
Manipur,27032020,1.0,0.0,0.0
Mizoram,27032020,1.0,0.0,0.0
Odisha,27032020,3.0,0.0,0.0
Puducherry,27032020,1.0,0.0,0.0
Punjab,27032020,38.0,0.0,1.0
Rajasthan,27032020,50.0,3.0,0.0
Tamil Nadu,27032020,38.0,1.0,1.0
Telangana,27032020,59.0,1.0,0.0
Uttar Pradesh,27032020,49.0,2.0,0.0
Uttarakhand,27032020,5.0,1.0,0.0
West Bengal,27032020,15.0,0.0,1.0
National Total,27032020,886.0,31.0,16.0
Andhra Pradesh,28032020,14.0,1.0,0.0
Andaman and Nicobar Islands,28032020,6.0,0.0,0.0
Bihar,28032020,9.0,0.0,1.0
Chandigarh,28032020,8.0,0.0,0.0
Chhattisgarh,28032020,6.0,0.0,0.0
Delhi,28032020,39.0,6.0,1.0
Goa,28032020,3.0,0.0,0.0
Gujarat,28032020,45.0,0.0,3.0
Haryana,28032020,33.0,12.0,0.0
Himachal Pradesh,28032020,3.0,0.0,1.0
Jammu and Kashmir,28032020,20.0,1.0,1.0
Karnataka,28032020,55.0,3.0,2.0
Kerala,28032020,176.0,11.0,0.0
Ladakh,28032020,13.0,3.0,0.0
Madhya Pradesh,28032020,30.0,0.0,2.0
Maharashtra,28032020,180.0,25.0,5.0
Manipur,28032020,1.0,0.0,0.0
Mizoram,28032020,1.0,0.0,0.0
Odisha,28032020,3.0,0.0,0.0
Puducherry,28032020,1.0,0.0,0.0
Punjab,28032020,38.0,1.0,1.0
Rajasthan,28032020,54.0,3.0,0.0
Tamil Nadu,28032020,40.0,2.0,1.0
Telengana,28032020,56.0,1.0,0.0
Uttarakhand,28032020,5.0,0.0,0.0
Uttar Pradesh,28032020,55.0,11.0,0.0
West Bengal,28032020,15.0,0.0,1.0
National Total,28032020,909.0,80.0,19.0
Andhra Pradesh,29032020,14.0,1.0,0.0
Andaman and Nicobar Islands,29032020,9.0,0.0,0.0
Bihar,29032020,9.0,0.0,1.0
Chandigarh,29032020,8.0,0.0,0.0
Chhattisgarh,29032020,6.0,0.0,0.0
Delhi,29032020,39.0,6.0,2.0
Goa,29032020,3.0,0.0,0.0
Gujarat,29032020,53.0,0.0,4.0
Haryana,29032020,33.0,12.0,0.0
Himachal Pradesh,29032020,3.0,0.0,1.0
Jammu and Kashmir,29032020,31.0,1.0,1.0
Karnataka,29032020,76.0,5.0,3.0
Kerala,29032020,182.0,15.0,1.0
Ladakh,29032020,13.0,3.0,0.0
Madhya Pradesh,29032020,30.0,0.0,2.0
Maharashtra,29032020,186.0,25.0,6.0
Manipur,29032020,1.0,0.0,0.0
Mizoram,29032020,1.0,0.0,0.0
Odisha,29032020,3.0,0.0,0.0
Puducherry,29032020,1.0,0.0,0.0
Punjab,29032020,38.0,1.0,1.0
Rajasthan,29032020,54.0,3.0,0.0
Tamil Nadu,29032020,42.0,2.0,1.0
Telengana,29032020,66.0,1.0,1.0
Uttarakhand,29032020,6.0,1.0,0.0
Uttar Pradesh,29032020,55.0,11.0,0.0
West Bengal,29032020,17.0,0.0,1.0
National Total,29032020,979.0,87.0,25.0
Andhra Pradesh,30032020,23.0,1.0,0.0
Andaman and Nicobar Islands,30032020,9.0,0.0,0.0
Bihar,30032020,15.0,0.0,1.0
Chandigarh,30032020,8.0,0.0,0.0
Chhattisgarh,30032020,7.0,0.0,0.0
Delhi,30032020,87.0,6.0,2.0
Goa,30032020,5.0,0.0,0.0
Gujarat,30032020,69.0,1.0,6.0
Haryana,30032020,36.0,18.0,0.0
Himachal Pradesh,30032020,3.0,0.0,1.0
Jammu and Kashmir,30032020,48.0,2.0,2.0
Karnataka,30032020,83.0,5.0,3.0
Kerala,30032020,202.0,19.0,1.0
Ladakh,30032020,13.0,3.0,0.0
Madhya Pradesh,30032020,47.0,0.0,3.0
Maharashtra,30032020,198.0,25.0,8.0
Manipur,30032020,1.0,0.0,0.0
Mizoram,30032020,1.0,0.0,0.0
Odisha,30032020,3.0,0.0,0.0
Puducherry,30032020,1.0,0.0,0.0
Punjab,30032020,38.0,1.0,1.0
Rajasthan,30032020,59.0,3.0,0.0
Tamil Nadu,30032020,67.0,4.0,1.0
Telengana,30032020,71.0,1.0,1.0
Uttarakhand,30032020,7.0,2.0,0.0
Uttar Pradesh,30032020,82.0,11.0,0.0
West Bengal,30032020,22.0,0.0,1.0
National Total,30032020,1205.0,102.0,31.0
Andhra Pradesh,31032020,40.0,1.0,0.0
Andaman and Nicobar Islands,31032020,10.0,0.0,0.0
Bihar,31032020,15.0,0.0,1.0
Chandigarh,31032020,13.0,0.0,0.0
Chhattisgarh,31032020,8.0,0.0,0.0
Delhi,31032020,97.0,6.0,2.0
Goa,31032020,5.0,0.0,0.0
Gujarat,31032020,73.0,3.0,6.0
Haryana,31032020,40.0,21.0,0.0
Himachal Pradesh,31032020,3.0,0.0,1.0
Jammu and Kashmir,31032020,54.0,2.0,2.0
Karnataka,31032020,83.0,5.0,3.0
Kerala,31032020,234.0,19.0,1.0
Ladakh,31032020,13.0,3.0,0.0
Madhya Pradesh,31032020,47.0,0.0,3.0
Maharashtra,31032020,216.0,39.0,9.0
Manipur,31032020,1.0,0.0,0.0
Mizoram,31032020,1.0,0.0,0.0
Odisha,31032020,3.0,0.0,0.0
Puducherry,31032020,1.0,0.0,0.0
Punjab,31032020,41.0,1.0,3.0
Rajasthan,31032020,74.0,3.0,0.0
Tamil Nadu,31032020,74.0,4.0,1.0
Telengana,31032020,79.0,1.0,1.0
Uttarakhand,31032020,7.0,2.0,0.0
Uttar Pradesh,31032020,101.0,14.0,0.0
West Bengal,31032020,26.0,0.0,2.0
National Total,31032020,1359.0,124.0,35.0
Andhra Pradesh,01042020,83.0,1.0,0.0
Andaman and Nicobar Islands,01042020,10.0,0.0,0.0
Bihar,01042020,23.0,0.0,1.0
Chandigarh,01042020,13.0,0.0,0.0
Chhattisgarh,01042020,9.0,0.0,0.0
Delhi,01042020,120.0,6.0,2.0
Goa,01042020,5.0,0.0,0.0
Gujarat,01042020,74.0,5.0,6.0
Haryana,01042020,43.0,21.0,0.0
Himachal Pradesh,01042020,3.0,0.0,1.0
Jammu and Kashmir,01042020,55.0,2.0,2.0
Karnataka,01042020,101.0,8.0,3.0
Kerala,01042020,241.0,23.0,2.0
Ladakh,01042020,13.0,3.0,0.0
Madhya Pradesh,01042020,47.0,0.0,3.0
Maharashtra,01042020,302.0,39.0,9.0
Manipur,01042020,1.0,0.0,0.0
Mizoram,01042020,1.0,0.0,0.0
Odisha,01042020,4.0,0.0,0.0
Puducherry,01042020,1.0,0.0,0.0
Punjab,01042020,41.0,1.0,3.0
Rajasthan,01042020,93.0,3.0,0.0
Tamil Nadu,01042020,124.0,4.0,1.0
Telengana,01042020,94.0,1.0,3.0
Uttarakhand,01042020,7.0,2.0,0.0
Uttar Pradesh,01042020,103.0,14.0,0.0
West Bengal,01042020,26.0,0.0,2.0
National Total,01042020,1637.0,133.0,38.0
Andhra Pradesh,02042020,83.0,0.0,0.0
