Region,Date,Confirmed,Recovered/Migrated,Deceased
Karnataka,20200326,55.0,3.0,2.0
Kerala,20200326,137.0,11.0,0.0
Ladakh,20200326,13.0,0.0,0.0
Madhya Pradesh,20200326,20.0,0.0,1.0
Maharashtra,20200326,130.0,2.0,2.0
Manipur,20200326,1.0,0.0,0.0
Mizoram,20200326,1.0,0.0,0.0
Odisha,20200326,3.0,0.0,0.0
Puducherry,20200326,1.0,0.0,0.0
Punjab,20200326,33.0,0.0,1.0
Rajasthan,20200326,43.0,3.0,0.0
Tamil Nadu,20200326,29.0,1.0,1.0
Telangana,20200326,45.0,1.0,0.0
Uttar Pradesh,20200326,42.0,2.0,0.0
Uttarakhand,20200326,5.0,1.0,0.0
West Bengal,20200326,10.0,0.0,1.0
Andaman and Nicobar Islands,20200327,6.0,0.0,0.0
Andhra Pradesh,20200327,13.0,0.0,0.0
Bihar,20200327,9.0,0.0,1.0
Chandigarh,20200327,8.0,0.0,0.0
Chhattisgarh,20200327,6.0,0.0,0.0
Delhi,20200327,40.0,3.0,1.0
Goa,20200327,3.0,0.0,0.0
Gujarat,20200327,47.0,0.0,2.0
Haryana,20200327,33.0,0.0,0.0
Himachal Pradesh,20200327,3.0,2.0,1.0
Jammu and Kashmir,20200327,20.0,0.0,1.0
Karnataka,20200327,64.0,5.0,3.0
Kerala,20200327,176.0,11.0,0.0
Ladakh,20200327,13.0,0.0,0.0
Madhya Pradesh,20200327,29.0,0.0,2.0
Maharashtra,20200327,156.0,2.0,2.0
Manipur,20200327,1.0,0.0,0.0
Mizoram,20200327,1.0,0.0,0.0
Odisha,20200327,3.0,0.0,0.0
Puducherry,20200327,1.0,0.0,0.0
Punjab,20200327,38.0,0.0,1.0
Rajasthan,20200327,50.0,3.0,0.0
Tamil Nadu,20200327,38.0,1.0,1.0
Telangana,20200327,59.0,1.0,0.0
Uttar Pradesh,20200327,49.0,2.0,0.0
Uttarakhand,20200327,5.0,1.0,0.0
West Bengal,20200327,15.0,0.0,1.0
Andhra Pradesh,20200328,14.0,1.0,0.0
Andaman and Nicobar Islands,20200328,6.0,0.0,0.0
Bihar,20200328,9.0,0.0,1.0
Chandigarh,20200328,8.0,0.0,0.0
Chhattisgarh,20200328,6.0,0.0,0.0
Delhi,20200328,39.0,6.0,1.0
Goa,20200328,3.0,0.0,0.0
Gujarat,20200328,45.0,0.0,3.0
Haryana,20200328,33.0,12.0,0.0
Himachal Pradesh,20200328,3.0,0.0,1.0
Jammu and Kashmir,20200328,20.0,1.0,1.0
Karnataka,20200328,55.0,3.0,2.0
Kerala,20200328,176.0,11.0,0.0
Ladakh,20200328,13.0,3.0,0.0
Madhya Pradesh,20200328,30.0,0.0,2.0
Maharashtra,20200328,180.0,25.0,5.0
Manipur,20200328,1.0,0.0,0.0
Mizoram,20200328,1.0,0.0,0.0
Odisha,20200328,3.0,0.0,0.0
Puducherry,20200328,1.0,0.0,0.0
Punjab,20200328,38.0,1.0,1.0
Rajasthan,20200328,54.0,3.0,0.0
Tamil Nadu,20200328,40.0,2.0,1.0
Telengana,20200328,56.0,1.0,0.0
Uttarakhand,20200328,5.0,0.0,0.0
Uttar Pradesh,20200328,55.0,11.0,0.0
West Bengal,20200328,15.0,0.0,1.0
Andhra Pradesh,20200329,14.0,1.0,0.0
Andaman and Nicobar Islands,20200329,9.0,0.0,0.0
Bihar,20200329,9.0,0.0,1.0
Chandigarh,20200329,8.0,0.0,0.0
Chhattisgarh,20200329,6.0,0.0,0.0
Delhi,20200329,39.0,6.0,2.0
Goa,20200329,3.0,0.0,0.0
Gujarat,20200329,53.0,0.0,4.0
Haryana,20200329,33.0,12.0,0.0
Himachal Pradesh,20200329,3.0,0.0,1.0
Jammu and Kashmir,20200329,31.0,1.0,1.0
Karnataka,20200329,76.0,5.0,3.0
Kerala,20200329,182.0,15.0,1.0
Ladakh,20200329,13.0,3.0,0.0
Madhya Pradesh,20200329,30.0,0.0,2.0
Maharashtra,20200329,186.0,25.0,6.0
Manipur,20200329,1.0,0.0,0.0
Mizoram,20200329,1.0,0.0,0.0
Odisha,20200329,3.0,0.0,0.0
Puducherry,20200329,1.0,0.0,0.0
Punjab,20200329,38.0,1.0,1.0
Rajasthan,20200329,54.0,3.0,0.0
Tamil Nadu,20200329,42.0,2.0,1.0
Telengana,20200329,66.0,1.0,1.0
Uttarakhand,20200329,6.0,1.0,0.0
Uttar Pradesh,20200329,55.0,11.0,0.0
West Bengal,20200329,17.0,0.0,1.0
Andhra Pradesh,20200330,23.0,1.0,0.0
Andaman and Nicobar Islands,20200330,9.0,0.0,0.0
Bihar,20200330,15.0,0.0,1.0
Chandigarh,20200330,8.0,0.0,0.0
Chhattisgarh,20200330,7.0,0.0,0.0
Delhi,20200330,87.0,6.0,2.0
Goa,20200330,5.0,0.0,0.0
Gujarat,20200330,69.0,1.0,6.0
Haryana,20200330,36.0,18.0,0.0
Himachal Pradesh,20200330,3.0,0.0,1.0
Jammu and Kashmir,20200330,48.0,2.0,2.0
Karnataka,20200330,83.0,5.0,3.0
